iter	Passed	Remaining
0	1	116
1	2	116
2	3	111
3	4	104
4	5	103
5	6	100
6	7	99
7	8	98
8	9	98
9	10	96
10	11	94
11	12	92
12	13	90
13	14	88
14	15	86
15	16	84
16	16	82
17	18	82
18	19	81
19	20	80
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	69
29	29	68
30	30	68
31	31	67
32	33	67
33	34	67
34	36	67
35	37	67
36	39	67
37	40	66
38	42	66
39	43	65
40	45	65
41	45	63
42	47	62
43	48	62
44	50	61
45	51	60
46	53	59
47	54	59
48	56	58
49	57	57
50	58	56
51	60	55
52	61	54
53	63	53
54	64	52
55	65	51
56	67	50
57	68	49
58	70	48
59	71	47
60	73	46
61	75	46
62	76	45
63	78	44
64	79	42
65	81	41
66	83	40
67	84	39
68	86	38
69	87	37
70	89	36
71	91	35
72	92	34
73	94	33
74	95	31
75	97	30
76	98	29
77	100	28
78	101	27
79	103	25
80	104	24
81	106	23
82	107	22
83	109	20
84	110	19
85	112	18
86	114	17
87	115	15
88	117	14
89	118	13
90	119	11
91	121	10
92	122	9
93	124	7
94	125	6
95	127	5
96	129	3
97	130	2
98	132	1
99	133	0
