iter	Passed	Remaining
0	141	140934
1	143	71667
2	146	48745
3	149	37164
4	151	30141
5	153	25389
6	155	22079
7	158	19670
8	161	17740
9	163	16194
10	165	14891
11	168	13847
12	170	12937
13	173	12192
14	175	11525
15	177	10911
16	179	10380
17	181	9908
18	183	9469
19	185	9110
20	188	8791
21	191	8522
22	193	8240
23	196	7975
24	198	7738
25	200	7511
26	202	7314
27	204	7114
28	206	6930
29	209	6768
30	211	6605
31	213	6464
32	215	6322
33	218	6203
34	221	6111
35	224	6003
36	226	5898
37	229	5811
38	232	5726
39	235	5651
40	238	5567
41	239	5466
42	241	5366
43	242	5275
44	244	5194
45	246	5121
46	248	5048
47	251	4989
48	253	4917
49	255	4847
50	256	4781
51	258	4715
52	260	4653
53	262	4596
54	264	4540
55	266	4492
56	268	4435
57	270	4386
58	272	4351
59	275	4319
60	279	4294
61	281	4265
62	284	4234
63	287	4203
64	289	4170
65	292	4144
66	295	4117
67	298	4086
68	300	4059
69	303	4034
70	306	4007
71	309	3990
72	312	3963
73	314	3933
74	316	3908
75	319	3881
76	321	3854
77	324	3838
78	327	3815
79	329	3790
80	332	3769
81	334	3746
82	336	3713
83	338	3696
84	341	3677
85	344	3662
86	347	3643
87	349	3622
88	352	3605
89	355	3595
90	359	3587
91	362	3575
92	365	3562
93	367	3545
94	370	3532
95	373	3520
96	377	3514
97	380	3506
98	384	3500
99	388	3494
100	391	3484
101	394	3472
102	397	3463
103	400	3453
104	404	3447
105	407	3438
106	410	3426
107	413	3412
108	416	3404
109	419	3391
110	421	3379
111	424	3368
112	427	3356
113	430	3346
114	433	3335
115	436	3329
116	439	3314
117	442	3306
118	445	3299
119	448	3289
120	451	3278
121	453	3264
122	456	3255
123	459	3245
124	462	3240
125	466	3236
126	469	3224
127	471	3212
128	474	3202
129	477	3198
130	481	3194
131	484	3186
132	487	3177
133	490	3172
134	493	3164
135	496	3156
136	499	3147
137	502	3136
138	505	3132
139	508	3124
140	511	3113
141	512	3096
142	514	3084
143	516	3070
144	518	3059
145	521	3047
146	523	3037
147	525	3024
148	527	3011
149	529	2999
150	531	2986
151	533	2975
152	535	2961
153	536	2949
154	538	2936
155	540	2923
156	541	2909
157	543	2896
158	545	2883
159	546	2870
160	548	2856
161	550	2845
162	552	2839
163	554	2827
164	556	2817
165	558	2806
166	561	2800
167	564	2793
168	566	2786
169	569	2779
170	571	2772
171	574	2763
172	576	2757
173	580	2755
174	583	2750
175	586	2744
176	589	2742
177	592	2736
178	595	2732
179	598	2727
180	601	2721
181	604	2715
182	606	2707
183	609	2703
184	612	2697
185	615	2692
186	618	2688
187	620	2681
188	624	2679
189	626	2672
190	629	2667
191	633	2665
192	635	2658
193	638	2650
194	641	2646
195	644	2641
196	646	2636
197	649	2632
198	652	2626
199	655	2622
200	658	2618
201	661	2612
202	663	2605
203	665	2596
204	668	2591
205	671	2586
206	673	2580
207	676	2575
208	678	2568
209	681	2562
210	683	2555
211	686	2550
